Date,Adj Close: SAND.ST,Worth: SAND.ST,Adj Close: SEB-A.ST,Worth: SEB-A.ST,Adj Close: SEK,Worth: SEK,Adj Close: EUR,Worth: EUR,Adj Close: BCHARTS/KRAKENUSD,Worth: BCHARTS/KRAKENUSD
2018-09-11,153.149994,38287.4985,96.91999799999999,19383.9996,1.0,50000.0,1.0,10000.0,6279.7099277938,6279.7099277938
2018-09-12,153.600006,38400.0015,96.440002,19288.0004,1.0,50000.0,1.0,10000.0,6278.3977246605,6278.3977246605
2018-09-13,154.550003,38637.50075,96.940002,19388.0004,1.0,50000.0,1.0,10000.0,6477.5394094486,6477.5394094486
2018-09-14,156.300003,39075.00075,97.339996,19467.9992,1.0,50000.0,1.0,10000.0,6502.0852482012,6502.0852482012
2018-09-17,155.699997,38924.99925,96.82,19364.0,1.0,50000.0,1.0,10000.0,6335.4703832223,6335.4703832223
2018-09-18,152.899994,38224.9985,95.599998,19119.9996,1.0,50000.0,1.0,10000.0,6306.2232146817,6306.2232146817
2018-09-19,156.050003,39012.50075,95.559998,19111.9996,1.0,50000.0,1.0,10000.0,6344.7517608036,6344.7517608036
2018-09-20,159.149994,39787.4985,97.220001,19444.0002,1.0,50000.0,1.0,10000.0,6402.2686930682,6402.2686930682
2018-09-21,160.449997,40112.49925,98.400002,19680.0004,1.0,50000.0,1.0,10000.0,6402.2686930682,6402.2686930682
2018-09-24,158.899994,39724.9985,97.900002,19580.0004,1.0,50000.0,1.0,10000.0,6625.8164990725,6625.8164990725
2018-09-25,158.199997,39549.99925,98.400002,19680.0004,1.0,50000.0,1.0,10000.0,6422.6444709909,6422.6444709909
2018-09-26,158.300003,39575.00075,99.300003,19860.0006,1.0,50000.0,1.0,10000.0,6479.8628369739,6479.8628369739
2018-09-27,160.550003,40137.50075,100.25,20050.0,1.0,50000.0,1.0,10000.0,6564.6913837153,6564.6913837153
2018-09-28,157.75,39437.5,99.239998,19847.9996,1.0,50000.0,1.0,10000.0,6662.0062258512,6662.0062258512
2018-10-01,157.800003,39450.00075,99.739998,19947.9996,1.0,50000.0,1.0,10000.0,6564.9735185498,6564.9735185498
2018-10-02,157.050003,39262.50075,99.0,19800.0,1.0,50000.0,1.0,10000.0,6523.6793783881,6523.6793783881
2018-10-03,158.649994,39662.4985,95.720001,19144.0002,1.0,50000.0,1.0,10000.0,6470.2603895022,6470.2603895022
2018-10-04,156.199997,39049.99925,95.959999,19191.999799999998,1.0,50000.0,1.0,10000.0,6551.2819064011,6551.2819064011
2018-10-05,152.600006,38150.0015,96.360001,19272.0002,1.0,50000.0,1.0,10000.0,6570.4909570303,6570.4909570303
2018-10-08,152.649994,38162.4985,95.82,19164.0,1.0,50000.0,1.0,10000.0,6607.850265142,6607.850265142
2018-10-09,154.0,38500.0,94.480003,18896.0006,1.0,50000.0,1.0,10000.0,6583.1274335524,6583.1274335524
2018-10-10,145.699997,36424.99925,94.699997,18939.9994,1.0,50000.0,1.0,10000.0,6509.4015464728,6509.4015464728
2018-10-11,141.949997,35487.49925,92.800003,18560.0006,1.0,50000.0,1.0,10000.0,6217.0268587285,6217.0268587285
2018-10-12,141.449997,35362.49925,91.879997,18375.9994,1.0,50000.0,1.0,10000.0,6195.1621854746,6195.1621854746
2018-10-15,140.25,35062.5,92.839996,18567.9992,1.0,50000.0,1.0,10000.0,6449.8755899495,6449.8755899495
2018-10-16,143.949997,35987.49925,93.739998,18747.9996,1.0,50000.0,1.0,10000.0,6441.8119287135,6441.8119287135
2018-10-17,143.399994,35849.9985,92.540001,18508.000200000002,1.0,50000.0,1.0,10000.0,6438.4287800375,6438.4287800375
2018-10-18,141.699997,35424.99925,90.660004,18132.0008,1.0,50000.0,1.0,10000.0,6414.3032611298,6414.3032611298
2018-10-19,136.300003,34075.00075,91.959999,18391.999799999998,1.0,50000.0,1.0,10000.0,6380.9531604217,6380.9531604217
2018-10-22,135.699997,33924.99925,90.779999,18155.9998,1.0,50000.0,1.0,10000.0,6405.1749232538,6405.1749232538
2018-10-23,135.300003,33825.00075,90.040001,18008.000200000002,1.0,50000.0,1.0,10000.0,6393.8489792022,6393.8489792022
2018-10-24,134.850006,33712.5015,90.239998,18047.9996,1.0,50000.0,1.0,10000.0,6427.6814486345,6427.6814486345
2018-10-25,138.350006,34587.5015,93.540001,18708.000200000002,1.0,50000.0,1.0,10000.0,6398.1231132649,6398.1231132649
2018-10-26,135.350006,33837.5015,92.779999,18555.9998,1.0,50000.0,1.0,10000.0,6404.132246013,6404.132246013
2018-10-29,135.350006,33837.5015,92.779999,18555.9998,1.0,50000.0,1.0,10000.0,6306.6908436652,6306.6908436652
2018-10-30,141.100006,35275.0015,93.639999,18727.9998,1.0,50000.0,1.0,10000.0,6306.6908436652,6306.6908436652
2018-10-31,145.850006,36462.5015,94.660004,18932.0008,1.0,50000.0,1.0,10000.0,6270.9035174546,6270.9035174546
